NBa7we src;d4r55;RfnDt;rsqaWe;wiI7pd;dSlJg;NlVald;dSlJg 2;NlVald 2
https://lh3.googleusercontent.com/a/ACg8ocJyYVqrZmfwT4Y6DnsaNQbKCVQC6s5DVvD-dTzgcOhfd3CJ4cw=w45-h45-p-rp-mo-br100;Péter 4;2 vélemény · 5 fotó;2 hete;Teljes lakásfelújítás során István csinálta a fürdõszobát és a WC-t, a véséstõl kezdve az új csöveken és vezetékeken át egészen a WC, csapok és kád beszereléséig. Minden flottul ment, gyorsan és precízen dolgozott. Könnyû volt vele …;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjVYHXzA1I2FmC8t5NvCwLCN8GKPe7TlhBHVDp3lc96g4mJidEvS=w45-h45-p-rp-mo-br100;Tünde Brunner;1 vélemény;egy hete;Fürdõszoba-felújítás miatt hívtuk Jóri István vízvezeték-szerelõt, és a lehetõ legjobb döntést hoztuk! A teljes vízvezeték-szerelési munkát precízen, átgondoltan és nagy szakértelemmel végezte el. …;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjWvWgGOyWLyctO9F6t_zC2xADFONdfH9rvDqSbEuOIqAPL4tL5Z=w45-h45-p-rp-mo-br100;Tünde Brunner;7 vélemény;2 hete;Örömmel adok ötcsillagos értékelést Jóri István vízvezeték-szerelõ munkájára. Már az elsõ egyeztetéskor nagyon korrekt és segítõkész volt, és külön pozitívum, hogy a megbeszélt idõpontban pontosan érkezett, egyáltalán nem kellett rá várni. …;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjXz8Xf3h11-VOWdKDDxHR5hcgaN9o_P3FE-GkmoeCYRS12v_zMY0A=w45-h45-p-rp-mo-br100;Brunner Tünde;7 vélemény;egy hete;Szívbõl ajánlom Jóri István vízvezeték-szerelõt mindenkinek! Dugulás miatt kellett sürgõsen segítséget kérnünk, a szomszédom ajánlotta õt, és egyáltalán nem csalódtunk. …;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a/ACg8ocICiXWw0vsEoA-fw97aMCuTft3r6EcLN57eU6NN4EKWSLCqNA=w45-h45-p-rp-mo-br100;Ágnes Cseresznyés;1 vélemény;egy hete;Ha Istvánt választja nem fog csalódni!Egy nagyon preciz munkájára igényes fiatalember aki egyben segitõkész is!Szereti a munkáját nem fog benne csslódni!Ha vizvezeték szerelõ kell csak István kell!Még egyszer nagyon köszönjük!;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjWRr4BfiykxIFROYL_GJQwVdXDXm45k14uM5ttglvLwJNY8FoJD=w45-h45-p-rp-mo-ba3-br100;Krisztina Pelei;Helyi idegenvezetõ · 25 vélemény · 2 fotó;2 hete;Elsõ osztályú szolgáltatás, nagyon nagyon precíz munka végzés és ami szintén nagyon fontos,hogy nagyon nagyon kedvesek,segítõkészek!Örülök, hogy rájuk találtam!??????;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a/ACg8ocLJn82JiQjL5akSyYHXdpANVonDxDJrCkGUO3Zep9UeF_6aow=w45-h45-p-rp-mo-br100;Judit Honfiné Kránicz;1 vélemény;egy hete;István nagyon jó szakember, munkájára igényes, korrekt, rugalmas, segítõkész. Bármikor számíthattunk rá, akár dugulás elhárításra, akár vízszereléssel kapcsolatos munkára volt szükségünk. Az anyagbeszerzést is megoldják, tiszta környezetet hagynak maguk után. Jó szívvel ajánlom mindenkinek õt és csapatát!;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjU694Vaz5D6Ubs-2KzIeXd7babLL-Kl8cbc5WsSCcuC-zn_Q02E=w45-h45-p-rp-mo-ba4-br100;Anita Bedzsó;Helyi idegenvezetõ · 12 vélemény · 75 fotó;egy hete;Nagyon elégedett vagyok a munkájával! Gyorsan reagált a megkeresésemre, pontosan érkezett, és rövid idõ alatt szakszerûen megoldotta a problémát. Tiszta, igényes munkát végzett korrekt áron, ráadásul mindent érthetõen elmagyarázott. Bátran ajánlom mindenkinek aki megbízható szakembert keres!;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a-/ALV-UjV3H5caEDIUDyZsOUaW04NTtwupLvtyLiwm08jZLY63Hb4sRIw7=w45-h45-p-rp-mo-br100;Wolf Rudi;6 vélemény;2 hete;Rendkívül precíz és korrekt szakember,már több alaklommal is kiváló munkát végzett nem csak nálam,de a családom más tagjainak lakásában is! Csak ajánlani tudom!;?;Tetszik;?;Megosztás
https://lh3.googleusercontent.com/a/ACg8ocJt-pAALbZvhzeTpX3YYN5GrGO-cA2uUIckqUt_9pyOIQz9Dg=w45-h45-p-rp-mo-br100;Sándor Nagy;3 vélemény · 3 fotó;2 hete;Lelkiismeretesen, megbízhatóan dolgozik normális áron. Rövid idõn belül, még aznap elvégezte a munkát, amikor hívtuk. Szívbõl ajánlom!;?;Tetszik;?;Megosztás
